perigo_reto,perigo_esquerda,perigo_direita,direcao_cima,direcao_baixo,direcao_esquerda,direcao_direita,maca_esquerda,maca_direita,maca_cima,maca_baixo,Q_straight,Q_left,Q_right,melhor_acao
False,False,False,True,False,False,False,False,True,False,False,4.845,3.266,12.386,right
False,False,False,False,False,True,False,True,False,False,False,11.986,3.98,4.752,straight
False,False,False,True,False,False,False,False,False,True,False,11.654,4.509,4.245,straight
False,False,False,False,True,False,False,False,False,False,True,11.554,3.993,4.398,straight
False,False,True,False,False,False,True,False,True,False,False,11.516,4.457,-9.973,straight
False,False,True,True,False,False,False,True,False,False,False,1.732,11.444,-7.176,left
False,False,False,False,False,False,True,False,False,True,False,4.322,11.335,3.192,left
False,False,False,False,False,False,True,False,True,False,False,11.242,4.52,4.241,straight
False,True,False,True,False,False,False,False,True,False,False,2.045,-4.686,11.239,right
False,True,False,True,False,False,False,False,False,True,False,11.096,-8.906,4.291,straight
True,False,False,False,True,False,False,False,True,False,False,-7.941,11.095,0.959,left
False,False,False,False,False,False,True,False,False,False,True,4.351,3.188,11.027,right
False,False,False,False,True,False,False,False,True,False,False,4.553,11.014,3.213,left
True,False,False,False,False,False,True,False,False,False,True,-4.686,0.328,10.85,right
False,False,False,True,False,False,False,True,False,False,False,4.669,10.829,3.362,left
False,True,False,False,False,True,False,False,False,True,False,1.174,-2.71,10.406,right
False,False,True,False,True,False,False,False,True,False,False,2.38,10.304,-5.695,left
False,False,False,False,True,False,False,True,False,False,False,4.242,3.255,10.293,right
False,False,False,False,False,True,False,False,False,False,True,4.343,10.23,3.009,left
False,True,False,False,False,False,True,False,True,False,False,10.206,-9.921,4.414,straight
False,True,False,False,True,False,False,False,False,False,True,10.183,-7.941,3.353,straight
True,False,False,True,False,False,False,True,False,False,False,-8.147,10.153,0.543,left
False,False,True,False,False,True,False,True,False,False,False,10.116,4.416,-9.529,straight
False,True,False,False,True,False,False,True,False,False,False,2.171,-6.126,9.986,right
True,False,False,False,False,True,False,False,False,True,False,-5.695,1.175,9.579,right
True,True,False,False,True,False,False,True,False,False,False,-4.095,-5.695,9.572,right
False,False,True,False,True,False,False,False,False,False,True,9.447,4.848,-7.176,straight
True,False,False,False,True,False,False,True,False,False,False,-7.941,1.392,9.256,right
True,True,False,True,False,False,False,False,True,False,False,-1.0,-2.71,9.062,right
True,True,False,False,False,False,True,False,False,False,True,-1.0,-1.0,8.817,right
True,False,True,False,False,True,False,False,False,False,True,-6.126,8.779,0.0,left
False,True,False,False,False,True,False,True,False,False,False,8.774,-9.529,4.572,straight
False,False,False,False,False,True,False,False,False,True,False,4.444,3.138,8.771,right
False,True,False,False,False,False,True,False,False,False,True,1.066,0.0,8.588,right
True,False,False,False,False,True,False,False,False,False,True,-7.176,8.424,0.384,left
True,False,True,False,True,False,False,False,True,False,False,-2.71,8.271,-1.0,left
False,True,True,False,False,True,False,True,False,False,False,8.213,-1.0,-1.9,straight
False,True,True,False,True,False,False,False,False,False,True,8.19,-1.9,-1.9,straight
True,False,False,True,False,False,False,False,True,False,False,-6.862,0.723,8.167,right
True,True,False,False,False,True,False,False,False,True,False,-1.9,-1.0,8.122,right
False,True,True,False,False,False,True,False,True,False,False,7.504,-4.095,-1.9,straight
False,False,False,False,False,False,True,False,True,False,True,7.415,4.192,4.696,straight
False,False,False,False,True,False,False,True,False,False,True,7.382,3.661,4.943,straight
True,False,True,True,False,False,False,True,False,False,False,-4.095,7.228,-1.9,left
False,False,False,False,True,False,False,False,True,False,True,7.215,5.171,4.553,straight
False,False,False,True,False,False,False,True,False,True,False,6.989,4.694,4.589,straight
False,False,False,False,False,True,False,True,False,True,False,5.656,3.807,6.975,right
True,False,True,False,False,False,True,False,False,True,False,-1.9,6.871,-1.0,left
False,False,False,False,False,True,False,True,False,False,True,6.768,4.984,4.288,straight
False,False,False,False,False,False,True,False,True,True,False,3.481,6.533,3.2,left
False,True,True,True,False,False,False,False,False,True,False,6.312,-1.9,-2.71,straight
False,True,False,False,False,True,False,True,False,True,False,6.165,-9.722,3.878,straight
False,False,True,True,False,False,False,True,False,True,False,4.465,6.13,-9.354,left
False,True,False,False,True,False,False,True,False,False,True,4.04,-8.906,6.045,right
False,False,False,True,False,False,False,True,False,False,True,3.922,5.969,4.138,left
False,False,False,False,False,False,True,True,False,True,False,2.904,5.938,3.077,left
False,False,False,True,False,False,False,False,True,True,False,4.237,4.308,5.932,right
False,False,False,False,False,True,False,False,True,False,True,3.621,5.868,3.464,left
False,False,False,False,False,False,True,True,False,False,True,4.061,3.554,5.855,right
False,False,True,False,False,True,False,False,True,False,True,0.957,5.62,-5.695,left
False,False,True,False,False,False,True,True,False,True,False,2.217,5.582,-7.941,left
False,False,True,False,False,True,False,True,False,False,True,3.456,5.581,-9.419,left
False,False,False,False,True,False,False,True,False,True,False,3.39,3.742,5.505,right
False,True,False,False,True,False,False,True,False,True,False,3.214,-7.941,5.436,right
False,True,False,True,False,False,False,False,True,True,False,5.424,-9.477,4.27,straight
False,False,False,False,False,True,False,False,True,True,False,3.877,3.907,5.387,right
False,True,False,False,False,False,True,False,True,False,True,4.13,-8.332,5.241,right
False,False,True,False,True,False,False,False,True,False,True,4.876,5.236,-9.722,left
False,False,False,True,False,False,False,False,True,False,True,3.498,3.314,5.196,right
False,False,True,False,False,False,True,False,True,True,False,3.477,5.022,-9.354,left
True,False,False,False,False,False,True,False,False,True,False,-6.862,4.931,1.352,left
False,True,False,False,False,True,False,False,True,True,False,1.983,-8.906,4.926,right
False,False,True,False,False,False,True,False,False,True,False,4.886,2.634,-4.686,straight
False,True,False,False,False,False,True,True,False,False,True,3.49,-9.114,4.885,right
False,True,False,True,False,False,False,False,True,False,True,2.666,-7.458,4.87,right
False,True,False,True,False,False,False,True,False,True,False,3.249,-8.332,4.808,right
True,True,False,True,False,False,False,False,True,False,True,-1.9,-1.9,4.726,right
False,False,True,False,True,False,False,False,False,True,False,0.223,4.691,-1.0,left
True,False,False,True,False,False,False,False,True,False,True,-5.695,0.087,4.656,right
False,False,False,False,True,False,False,False,False,True,False,1.388,4.598,0.545,left
False,False,False,False,True,False,False,False,True,True,False,3.036,4.571,3.037,left
False,True,False,False,False,True,False,True,False,False,True,2.005,-6.126,4.565,right
True,True,False,False,False,True,False,True,False,True,False,-4.686,-5.217,4.473,right
True,False,False,True,False,False,False,True,False,False,True,-8.147,4.455,0.515,left
False,False,True,True,False,False,False,False,True,True,False,4.437,2.132,-8.649,straight
False,False,True,True,False,False,False,False,False,True,False,3.244,4.372,-5.695,left
False,True,False,False,True,False,False,False,False,True,False,0.754,-1.9,4.345,right
False,False,False,True,False,False,False,False,False,False,True,0.604,0.916,4.312,right
False,False,True,False,False,True,False,True,False,True,False,2.977,4.274,-8.147,left
True,True,False,False,False,False,True,False,True,False,True,-1.9,-4.095,4.192,right
True,False,False,False,True,False,False,False,True,True,False,-7.941,4.167,-0.063,left
False,False,True,False,True,False,False,True,False,False,True,2.986,4.106,-8.784,left
True,False,True,False,True,False,False,False,True,False,True,-4.686,4.104,-5.217,left
True,False,False,False,False,False,True,True,False,True,False,-7.458,4.082,1.564,left
False,False,True,False,False,False,True,False,True,False,True,2.922,4.062,-8.906,left
False,True,False,True,False,False,False,False,False,False,True,-0.01,-1.0,4.024,right
True,False,True,True,False,False,False,False,True,True,False,-2.71,4.023,-2.71,left
False,True,False,False,True,False,False,False,True,False,True,4.014,-7.712,1.977,straight
False,False,True,False,False,True,False,False,False,False,True,4.009,3.281,-3.439,straight
False,True,False,False,False,True,False,False,True,False,False,-0.002,-1.0,3.989,right
True,True,False,True,False,False,False,False,True,True,False,-4.686,-3.439,3.967,right
False,True,False,False,False,False,True,True,False,True,False,2.386,-7.458,3.953,right
False,True,False,False,False,False,True,False,True,True,False,2.975,-8.499,3.947,right
False,False,True,False,True,False,False,False,True,True,False,1.985,3.946,-7.712,left
False,True,False,False,False,False,True,True,False,False,False,-0.001,0.0,3.942,right
True,False,False,False,True,False,False,False,False,True,False,-1.9,3.919,-0.138,left
False,False,True,True,False,False,False,True,False,False,True,2.481,3.841,-8.649,left
True,True,False,False,False,True,False,True,False,False,True,-1.0,-1.9,3.798,right
False,False,True,False,False,False,True,True,False,False,False,0.368,3.75,-4.095,left
True,True,False,False,True,False,False,True,False,False,True,-2.71,-2.71,3.742,right
False,False,False,False,False,False,True,True,False,False,False,1.763,2.157,3.731,right
True,False,True,False,False,True,False,True,False,False,True,-3.439,3.697,-5.217,left
False,False,True,False,False,True,False,False,True,False,False,0.011,3.689,-1.0,left
False,True,False,True,False,False,False,True,False,False,False,3.669,-1.0,0.45,straight
False,False,True,True,False,False,False,False,True,False,True,1.907,3.653,-5.695,left
True,False,True,True,False,False,False,False,False,True,False,-1.0,3.644,0.0,left
False,True,True,False,False,True,False,True,False,False,True,3.642,-2.71,-2.71,straight
True,True,False,False,True,False,False,False,False,False,True,-1.0,-1.9,3.583,right
True,False,False,False,True,False,False,True,False,True,False,-8.499,-0.089,3.578,right
True,True,False,False,False,True,False,False,True,True,False,-1.9,-1.0,3.564,right
False,False,True,False,False,True,False,False,False,True,False,3.542,0.341,0.0,straight
False,True,False,False,True,False,False,False,True,True,False,1.197,-6.126,3.52,right
False,True,False,False,False,True,False,False,True,False,True,3.057,-8.649,3.512,right
True,False,True,False,False,True,False,False,True,False,True,-1.9,3.493,-1.0,left
True,False,False,False,False,True,False,False,True,False,True,-8.499,3.465,0.704,left
False,False,True,False,True,False,False,True,False,True,False,1.945,3.46,-4.095,left
False,True,False,False,False,True,False,False,False,False,True,3.449,0.0,0.319,straight
True,False,True,False,False,True,False,True,False,False,False,-2.71,3.42,-1.0,left
False,True,False,False,False,False,True,False,False,True,False,0.326,0.0,3.414,right
False,False,True,True,False,False,False,False,False,False,True,-0.005,3.407,0.0,left
False,False,True,True,False,False,False,False,True,False,False,3.4,0.69,-2.71,straight
False,True,False,True,False,False,False,True,False,False,True,1.268,-4.686,3.351,right
True,True,False,True,False,False,False,True,False,True,False,-1.9,-3.439,3.35,right
True,False,True,False,False,False,True,False,True,False,False,-1.0,3.32,-1.9,left
True,False,True,False,False,False,True,False,True,False,True,-4.095,3.302,-4.095,left
False,False,True,False,False,True,False,False,True,True,False,3.276,2.167,-6.126,straight
